Date,Price
5/3/2021,101.5
5/4/2021,91.400002
5/5/2021,92.5
5/6/2021,89.900002
5/7/2021,92.300003
5/10/2021,101.5
5/11/2021,98.699997
5/12/2021,88.900002
5/13/2021,80.099998
5/14/2021,81.599998
5/17/2021,78.199997
5/18/2021,86
5/19/2021,94.599998
5/20/2021,104
5/21/2021,114
5/24/2021,125
5/25/2021,116.5
5/26/2021,128
5/27/2021,140.5
5/28/2021,154.5
5/31/2021,145
6/1/2021,159.5
6/2/2021,160
6/3/2021,161
6/4/2021,155.5
6/7/2021,153
6/8/2021,165
6/9/2021,160
6/10/2021,159
6/11/2021,174.5
6/15/2021,191.5
6/16/2021,205.5
6/17/2021,206
6/18/2021,226.5
6/21/2021,249
6/22/2021,251
6/23/2021,226
6/24/2021,248.5
6/25/2021,273
6/28/2021,300
6/29/2021,292
6/30/2021,321
